cow_age,cow_breed,cow_sex,weight_mature,weight_current,weight_gain
1,cruzado,female,600.0,38.0,0.8429752066115702
2,cruzado,female,600.0,38.84297520661157,0.8429752066115702
3,cruzado,female,600.0,39.68595041322314,0.8429752066115702
4,cruzado,female,600.0,40.52892561983471,0.8429752066115702
5,cruzado,female,600.0,41.37190082644628,0.8429752066115702
6,cruzado,female,600.0,42.21487603305785,0.8429752066115702
7,cruzado,female,600.0,43.05785123966942,0.8429752066115702
8,cruzado,female,600.0,43.90082644628099,0.8429752066115702
9,cruzado,female,600.0,44.743801652892564,0.8429752066115702
10,cruzado,female,600.0,45.586776859504134,0.8429752066115702
11,cruzado,female,600.0,46.429752066115704,0.8429752066115702
12,cruzado,female,600.0,47.27272727272727,0.8429752066115702
13,cruzado,female,600.0,48.11570247933884,0.8429752066115702
14,cruzado,female,600.0,48.95867768595041,0.8429752066115702
15,cruzado,female,600.0,49.80165289256198,0.8429752066115702
16,cruzado,female,600.0,50.64462809917355,0.8429752066115702
17,cruzado,female,600.0,51.48760330578512,0.8429752066115702
18,cruzado,female,600.0,52.33057851239669,0.8429752066115702
19,cruzado,female,600.0,53.17355371900827,0.8429752066115702
20,cruzado,female,600.0,54.01652892561984,0.8429752066115702
21,cruzado,female,600.0,54.85950413223141,0.8429752066115702
22,cruzado,female,600.0,55.70247933884298,0.8429752066115702
23,cruzado,female,600.0,56.54545454545455,0.8429752066115702
24,cruzado,female,600.0,57.388429752066116,0.8429752066115702
25,cruzado,female,600.0,58.231404958677686,0.8429752066115702
26,cruzado,female,600.0,59.074380165289256,0.8429752066115702
27,cruzado,female,600.0,59.917355371900825,0.8429752066115702
28,cruzado,female,600.0,60.760330578512395,0.8429752066115702
29,cruzado,female,600.0,61.603305785123965,0.8429752066115702
30,cruzado,female,600.0,62.446280991735534,0.8429752066115702
31,cruzado,female,600.0,63.289256198347104,0.8429752066115702
32,cruzado,female,600.0,64.13223140495867,0.8429752066115702
33,cruzado,female,600.0,64.97520661157024,0.8429752066115702
34,cruzado,female,600.0,65.81818181818181,0.8429752066115702
35,cruzado,female,600.0,66.66115702479338,0.8429752066115702
36,cruzado,female,600.0,67.50413223140495,0.8429752066115702
37,cruzado,female,600.0,68.34710743801654,0.8429752066115702
38,cruzado,female,600.0,69.19008264462809,0.8429752066115702
39,cruzado,female,600.0,70.03305785123968,0.8429752066115702
40,cruzado,female,600.0,70.87603305785123,0.8429752066115702
41,cruzado,female,600.0,71.71900826446281,0.8429752066115702
42,cruzado,female,600.0,72.56198347107437,0.8429752066115702
43,cruzado,female,600.0,73.40495867768595,0.8429752066115702
44,cruzado,female,600.0,74.24793388429751,0.8429752066115702
45,cruzado,female,600.0,75.0909090909091,0.8429752066115702
46,cruzado,female,600.0,75.93388429752066,0.8429752066115702
47,cruzado,female,600.0,76.77685950413223,0.8429752066115702
48,cruzado,female,600.0,77.6198347107438,0.8429752066115702
49,cruzado,female,600.0,78.46280991735537,0.8429752066115702
50,cruzado,female,600.0,79.30578512396694,0.8429752066115702
51,cruzado,female,600.0,80.14876033057851,0.8429752066115702
52,cruzado,female,600.0,80.99173553719008,0.8429752066115702
53,cruzado,female,600.0,81.83471074380165,0.8429752066115702
54,cruzado,female,600.0,82.67768595041322,0.8429752066115702
55,cruzado,female,600.0,83.52066115702479,0.8429752066115702
56,cruzado,female,600.0,84.36363636363636,0.8429752066115702
57,cruzado,female,600.0,85.20661157024793,0.8429752066115702
58,cruzado,female,600.0,86.0495867768595,0.8429752066115702
59,cruzado,female,600.0,86.89256198347107,0.8429752066115702
60,cruzado,female,600.0,87.73553719008265,0.8429752066115702
61,cruzado,female,600.0,88.57851239669421,0.8429752066115702
62,cruzado,female,600.0,89.42148760330579,0.8429752066115702
63,cruzado,female,600.0,90.26446280991735,0.8429752066115702
64,cruzado,female,600.0,91.10743801652893,0.8429752066115702
65,cruzado,female,600.0,91.95041322314049,0.8429752066115702
66,cruzado,female,600.0,92.79338842975207,0.8429752066115702
67,cruzado,female,600.0,93.63636363636363,0.8429752066115702
68,cruzado,female,600.0,94.47933884297521,0.8429752066115702
69,cruzado,female,600.0,95.32231404958677,0.8429752066115702
70,cruzado,female,600.0,96.16528925619835,0.8429752066115702
71,cruzado,female,600.0,97.0082644628099,0.8429752066115702
72,cruzado,female,600.0,97.85123966942149,0.8429752066115702
73,cruzado,female,600.0,98.69421487603306,0.8429752066115702
74,cruzado,female,600.0,99.53719008264463,0.8429752066115702
75,cruzado,female,600.0,100.3801652892562,0.8429752066115702
76,cruzado,female,600.0,101.22314049586777,0.8429752066115702
77,cruzado,female,600.0,102.06611570247934,0.8429752066115702
78,cruzado,female,600.0,102.9090909090909,0.8429752066115702
79,cruzado,female,600.0,103.75206611570248,0.8429752066115702
80,cruzado,female,600.0,104.59504132231405,0.8429752066115702
81,cruzado,female,600.0,105.43801652892562,0.8429752066115702
82,cruzado,female,600.0,106.28099173553719,0.8429752066115702
83,cruzado,female,600.0,107.12396694214875,0.8429752066115702
84,cruzado,female,600.0,107.96694214876032,0.8429752066115702
85,cruzado,female,600.0,108.8099173553719,0.8429752066115702
86,cruzado,female,600.0,109.65289256198346,0.8429752066115702
87,cruzado,female,600.0,110.49586776859503,0.8429752066115702
88,cruzado,female,600.0,111.3388429752066,0.8429752066115702
89,cruzado,female,600.0,112.18181818181817,0.8429752066115702
90,cruzado,female,600.0,113.02479338842974,0.8429752066115702
91,cruzado,female,600.0,113.86776859504133,0.8429752066115702
92,cruzado,female,600.0,114.7107438016529,0.8429752066115702
93,cruzado,female,600.0,115.55371900826447,0.8429752066115702
94,cruzado,female,600.0,116.39669421487604,0.8429752066115702
95,cruzado,female,600.0,117.2396694214876,0.8429752066115702
96,cruzado,female,600.0,118.08264462809917,0.8429752066115702
97,cruzado,female,600.0,118.92561983471074,0.8429752066115702
98,cruzado,female,600.0,119.76859504132231,0.8429752066115702
99,cruzado,female,600.0,120.61157024793388,0.8429752066115702
100,cruzado,female,600.0,121.45454545454545,0.8429752066115702
101,cruzado,female,600.0,122.29752066115702,0.8429752066115702
102,cruzado,female,600.0,123.14049586776859,0.8429752066115702
103,cruzado,female,600.0,123.98347107438016,0.8429752066115702
104,cruzado,female,600.0,124.82644628099173,0.8429752066115702
105,cruzado,female,600.0,125.6694214876033,0.8429752066115702
106,cruzado,female,600.0,126.51239669421487,0.8429752066115702
