age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
31,female,no,27.44,0.2479,275.0,0.322,3.861,0.8,1.001,extensive,0.227,0.876,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.159,0.008
32,female,no,27.69,0.2479,275.0,0.322,3.887,0.8,1.008,extensive,0.227,0.882,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.235,0.008
33,female,no,27.93,0.2479,275.0,0.322,3.912,0.8,1.014,extensive,0.227,0.888,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.307,0.008
34,female,no,28.18,0.2479,275.0,0.322,3.938,0.8,1.021,extensive,0.227,0.894,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.383,0.008
35,female,no,28.43,0.2479,275.0,0.322,3.965,0.8,1.028,extensive,0.227,0.9,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.46,0.008
36,female,no,28.68,0.2479,275.0,0.322,3.991,0.8,1.034,extensive,0.227,0.906,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.534,0.008
37,female,no,28.93,0.2479,275.0,0.322,4.017,0.8,1.041,extensive,0.227,0.912,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.61,0.008
38,female,no,29.17,0.2479,275.0,0.322,4.042,0.8,1.048,extensive,0.227,0.918,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.684,0.008
39,female,no,29.42,0.2479,275.0,0.322,4.068,0.8,1.054,extensive,0.227,0.923,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.756,0.008
40,female,no,29.67,0.2479,275.0,0.322,4.093,0.8,1.061,extensive,0.227,0.929,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.83,0.009
41,female,no,29.92,0.2479,275.0,0.322,4.119,0.8,1.068,extensive,0.227,0.935,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.906,0.009
42,female,no,30.17,0.2479,275.0,0.322,4.145,0.8,1.074,extensive,0.227,0.941,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.979,0.009
43,female,no,30.41,0.2479,275.0,0.322,4.17,0.8,1.081,extensive,0.227,0.947,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.053,0.009
44,female,no,30.66,0.2479,275.0,0.322,4.196,0.8,1.088,extensive,0.227,0.952,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.128,0.009
45,female,no,30.91,0.2479,275.0,0.322,4.221,0.8,1.094,extensive,0.227,0.958,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.199,0.009
