weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,Diet,Digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_Ent_Ferm
26.71074380165289,0.2314049586776859,380.0,0.322,3.783,0.8,0.713,extensive,0.227,0.859,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.245,0.007
26.94214876033058,0.2314049586776859,380.0,0.322,3.808,0.8,0.718,extensive,0.227,0.864,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.312,0.007
27.173553719008265,0.2314049586776859,380.0,0.322,3.832,0.8,0.723,extensive,0.227,0.87,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.379,0.007
27.40495867768595,0.2314049586776859,380.0,0.322,3.857,0.8,0.727,extensive,0.227,0.876,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.446,0.008
27.63636363636364,0.2314049586776859,380.0,0.322,3.881,0.8,0.732,extensive,0.227,0.881,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.511,0.008
27.867768595041323,0.2314049586776859,380.0,0.322,3.906,0.8,0.737,extensive,0.227,0.887,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.58,0.008
28.09917355371901,0.2314049586776859,380.0,0.322,3.93,0.8,0.741,extensive,0.227,0.892,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.643,0.008
28.33057851239669,0.2314049586776859,380.0,0.322,3.954,0.8,0.746,extensive,0.227,0.898,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.71,0.008
28.56198347107438,0.2314049586776859,380.0,0.322,3.978,0.8,0.75,extensive,0.227,0.903,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.773,0.008
28.793388429752067,0.2314049586776859,380.0,0.322,4.002,0.8,0.755,extensive,0.227,0.908,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.839,0.008
29.024793388429757,0.2314049586776859,380.0,0.322,4.027,0.8,0.759,extensive,0.227,0.914,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.905,0.008
29.25619834710744,0.2314049586776859,380.0,0.322,4.051,0.8,0.764,extensive,0.227,0.92,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,10.972,0.008
29.48760330578512,0.2314049586776859,380.0,0.322,4.075,0.8,0.768,extensive,0.227,0.925,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.035,0.008
29.719008264462808,0.2314049586776859,380.0,0.322,4.099,0.8,0.773,extensive,0.227,0.93,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.1,0.008
29.95041322314049,0.2314049586776859,380.0,0.322,4.122,0.8,0.777,extensive,0.227,0.936,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.163,0.008
30.18181818181818,0.2314049586776859,380.0,0.322,4.146,0.8,0.782,extensive,0.227,0.941,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.229,0.008
30.413223140495862,0.2314049586776859,380.0,0.322,4.17,0.8,0.786,extensive,0.227,0.947,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.293,0.008
30.644628099173552,0.2314049586776859,380.0,0.322,4.194,0.8,0.791,extensive,0.227,0.952,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.359,0.008
30.87603305785124,0.2314049586776859,380.0,0.322,4.218,0.8,0.795,extensive,0.227,0.957,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.422,0.008
31.107438016528924,0.2314049586776859,380.0,0.322,4.241,0.8,0.8,extensive,0.227,0.963,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.487,0.008
31.33884297520661,0.2314049586776859,380.0,0.322,4.265,0.8,0.804,extensive,0.227,0.968,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.55,0.008
31.570247933884296,0.2314049586776859,380.0,0.322,4.289,0.8,0.809,extensive,0.227,0.974,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.617,0.008
31.801652892561982,0.2314049586776859,380.0,0.322,4.312,0.8,0.813,extensive,0.227,0.979,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.678,0.008
32.03305785123967,0.2314049586776859,380.0,0.322,4.336,0.8,0.818,extensive,0.227,0.984,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.743,0.008
32.264462809917354,0.2314049586776859,380.0,0.322,4.359,0.8,0.822,extensive,0.227,0.989,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.804,0.008
32.49586776859504,0.2314049586776859,380.0,0.322,4.383,0.8,0.827,extensive,0.227,0.995,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.872,0.009
32.72727272727273,0.2314049586776859,380.0,0.322,4.406,0.8,0.831,extensive,0.227,1.0,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.933,0.009
32.95867768595041,0.2314049586776859,380.0,0.322,4.429,0.8,0.835,extensive,0.227,1.005,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,11.994,0.009
33.1900826446281,0.2314049586776859,380.0,0.322,4.453,0.8,0.84,extensive,0.227,1.011,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.061,0.009
33.421487603305785,0.2314049586776859,380.0,0.322,4.476,0.8,0.844,extensive,0.227,1.016,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.122,0.009
33.65289256198347,0.2314049586776859,380.0,0.322,4.499,0.8,0.848,extensive,0.227,1.021,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.183,0.009
33.88429752066116,0.2314049586776859,380.0,0.322,4.522,0.8,0.853,extensive,0.227,1.026,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.247,0.009
34.11570247933884,0.2314049586776859,380.0,0.322,4.545,0.8,0.857,extensive,0.227,1.032,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.309,0.009
34.34710743801653,0.2314049586776859,380.0,0.322,4.568,0.8,0.862,extensive,0.227,1.037,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.373,0.009
34.578512396694215,0.2314049586776859,380.0,0.322,4.592,0.8,0.866,extensive,0.227,1.042,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.436,0.009
34.8099173553719,0.2314049586776859,380.0,0.322,4.615,0.8,0.87,extensive,0.227,1.048,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.499,0.009
35.04132231404959,0.2314049586776859,380.0,0.322,4.638,0.8,0.875,extensive,0.227,1.053,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.562,0.009
35.27272727272727,0.2314049586776859,380.0,0.322,4.661,0.8,0.879,extensive,0.227,1.058,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.623,0.009
35.50413223140496,0.2314049586776859,380.0,0.322,4.683,0.8,0.883,extensive,0.227,1.063,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.683,0.009
35.735537190082646,0.2314049586776859,380.0,0.322,4.706,0.8,0.888,extensive,0.227,1.068,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.746,0.009
35.96694214876033,0.2314049586776859,380.0,0.322,4.729,0.8,0.892,extensive,0.227,1.073,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.807,0.009
36.19834710743802,0.2314049586776859,380.0,0.322,4.752,0.8,0.896,extensive,0.227,1.079,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.87,0.009
36.4297520661157,0.2314049586776859,380.0,0.322,4.775,0.8,0.9,extensive,0.227,1.084,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.931,0.009
36.66115702479339,0.2314049586776859,380.0,0.322,4.797,0.8,0.905,extensive,0.227,1.089,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,12.993,0.009
36.89256198347108,0.2314049586776859,380.0,0.322,4.82,0.8,0.909,extensive,0.227,1.094,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.054,0.009
37.12396694214876,0.2314049586776859,380.0,0.322,4.843,0.8,0.913,extensive,0.227,1.099,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.115,0.009
37.35537190082645,0.2314049586776859,380.0,0.322,4.865,0.8,0.918,extensive,0.227,1.104,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.177,0.009
37.58677685950413,0.2314049586776859,380.0,0.322,4.888,0.8,0.922,extensive,0.227,1.11,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.239,0.01
37.81818181818182,0.2314049586776859,380.0,0.322,4.911,0.8,0.926,extensive,0.227,1.115,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.3,0.01
38.04958677685951,0.2314049586776859,380.0,0.322,4.933,0.8,0.93,extensive,0.227,1.12,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.36,0.01
38.28099173553719,0.2314049586776859,380.0,0.322,4.956,0.8,0.935,extensive,0.227,1.125,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.423,0.01
38.51239669421488,0.2314049586776859,380.0,0.322,4.978,0.8,0.939,extensive,0.227,1.13,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.482,0.01
38.74380165289256,0.2314049586776859,380.0,0.322,5.0,0.8,0.943,extensive,0.227,1.135,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.542,0.01
38.97520661157024,0.2314049586776859,380.0,0.322,5.023,0.8,0.947,extensive,0.227,1.14,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.603,0.01
39.20661157024793,0.2314049586776859,380.0,0.322,5.045,0.8,0.951,extensive,0.227,1.145,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,13.662,0.01
39.438016528925615,0.2314049586776859,380.0,0.322,5.067,0.8,0.956,extensive,0.227,1.15,no,0.0,0.0,no,0,0,0.0,0.0,extensive,60.35,0.49618,0.28051,7.0,26.409,0.033
