age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
30,male,no,68.76,0.9917,900.0,0.322,7.689,1.2,2.766,semi-intensive,0.085,0.654,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.238,0.016
31,male,no,69.75,0.9917,900.0,0.322,7.772,1.2,2.795,semi-intensive,0.085,0.661,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.475,0.016
32,male,no,70.74,0.9917,900.0,0.322,7.854,1.2,2.825,semi-intensive,0.085,0.668,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.714,0.016
33,male,no,71.74,0.9917,900.0,0.322,7.937,1.2,2.855,semi-intensive,0.085,0.675,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.954,0.016
34,male,no,72.73,0.9917,900.0,0.322,8.019,1.2,2.884,semi-intensive,0.085,0.682,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.19,0.017
35,male,no,73.72,0.9917,900.0,0.322,8.101,1.2,2.914,semi-intensive,0.085,0.689,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.429,0.017
36,male,no,74.71,0.9917,900.0,0.322,8.183,1.2,2.943,semi-intensive,0.085,0.696,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.664,0.017
37,male,no,75.7,0.9917,900.0,0.322,8.264,1.2,2.972,semi-intensive,0.085,0.702,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.897,0.017
38,male,no,76.69,0.9917,900.0,0.322,8.345,1.2,3.001,semi-intensive,0.085,0.709,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.131,0.017
39,male,no,77.69,0.9917,900.0,0.322,8.426,1.2,3.031,semi-intensive,0.085,0.716,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.368,0.018
40,male,no,78.68,0.9917,900.0,0.322,8.507,1.2,3.06,semi-intensive,0.085,0.723,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.602,0.018
41,male,no,79.67,0.9917,900.0,0.322,8.587,1.2,3.089,semi-intensive,0.085,0.73,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.834,0.018
42,male,no,80.66,0.9917,900.0,0.322,8.667,1.2,3.117,semi-intensive,0.085,0.737,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.064,0.018
43,male,no,81.65,0.9917,900.0,0.322,8.746,1.2,3.146,semi-intensive,0.085,0.743,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.292,0.018
44,male,no,82.64,0.9917,900.0,0.322,8.826,1.2,3.174,semi-intensive,0.085,0.75,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.522,0.018
45,male,no,83.64,0.9917,900.0,0.322,8.906,1.2,3.203,semi-intensive,0.085,0.757,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.754,0.019
46,male,no,84.63,0.9917,900.0,0.322,8.985,1.2,3.232,semi-intensive,0.085,0.764,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.985,0.019
47,male,no,85.62,0.9917,900.0,0.322,9.063,1.2,3.26,semi-intensive,0.085,0.77,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.209,0.019
48,male,no,86.61,0.9917,900.0,0.322,9.142,1.2,3.288,semi-intensive,0.085,0.777,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.437,0.019
49,male,no,87.6,0.9917,900.0,0.322,9.22,1.2,3.316,semi-intensive,0.085,0.784,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.663,0.019
50,male,no,88.6,0.9917,900.0,0.322,9.299,1.2,3.345,semi-intensive,0.085,0.79,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.892,0.019
51,male,no,89.59,0.9917,900.0,0.322,9.377,1.2,3.373,semi-intensive,0.085,0.797,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.118,0.019
52,male,no,90.58,0.9917,900.0,0.322,9.454,1.2,3.401,semi-intensive,0.085,0.804,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.342,0.02
53,male,no,91.57,0.9917,900.0,0.322,9.532,1.2,3.428,semi-intensive,0.085,0.81,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.564,0.02
54,male,no,92.56,0.9917,900.0,0.322,9.609,1.2,3.456,semi-intensive,0.085,0.817,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.788,0.02
55,male,no,93.55,0.9917,900.0,0.322,9.686,1.2,3.484,semi-intensive,0.085,0.823,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.011,0.02
56,male,no,94.55,0.9917,900.0,0.322,9.763,1.2,3.512,semi-intensive,0.085,0.83,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.235,0.02
57,male,no,95.54,0.9917,900.0,0.322,9.84,1.2,3.539,semi-intensive,0.085,0.836,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.455,0.02
58,male,no,96.53,0.9917,900.0,0.322,9.916,1.2,3.567,semi-intensive,0.085,0.843,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.677,0.021
59,male,no,97.52,0.9917,900.0,0.322,9.993,1.2,3.594,semi-intensive,0.085,0.849,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.897,0.021
60,male,no,98.51,0.9917,900.0,0.322,10.069,1.2,3.622,semi-intensive,0.085,0.856,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,29.12,0.021
61,male,no,99.5,0.9917,900.0,0.322,10.144,1.2,3.649,semi-intensive,0.085,0.862,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,29.336,0.021
62,male,no,100.5,0.9917,900.0,0.322,10.221,1.2,3.676,semi-intensive,0.085,0.869,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,29.558,0.021
63,male,no,101.49,0.9917,900.0,0.322,10.296,1.2,3.703,semi-intensive,0.085,0.875,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,29.774,0.021
64,male,no,102.48,0.9917,900.0,0.322,10.371,1.2,3.73,semi-intensive,0.085,0.882,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,29.992,0.022
65,male,no,103.47,0.9917,900.0,0.322,10.446,1.2,3.757,semi-intensive,0.085,0.888,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,30.208,0.022
66,male,no,104.46,0.9917,900.0,0.322,10.521,1.2,3.784,semi-intensive,0.085,0.894,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,30.425,0.022
67,male,no,105.45,0.9917,900.0,0.322,10.596,1.2,3.811,semi-intensive,0.085,0.901,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,30.643,0.022
68,male,no,106.45,0.9917,900.0,0.322,10.671,1.2,3.838,semi-intensive,0.085,0.907,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,30.859,0.022
69,male,no,107.44,0.9917,900.0,0.322,10.746,1.2,3.865,semi-intensive,0.085,0.913,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,31.075,0.022
70,male,no,108.43,0.9917,900.0,0.322,10.82,1.2,3.892,semi-intensive,0.085,0.92,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,31.291,0.022
71,male,no,109.42,0.9917,900.0,0.322,10.894,1.2,3.918,semi-intensive,0.085,0.926,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,31.503,0.023
72,male,no,110.41,0.9917,900.0,0.322,10.968,1.2,3.945,semi-intensive,0.085,0.932,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,31.718,0.023
73,male,no,111.4,0.9917,900.0,0.322,11.041,1.2,3.971,semi-intensive,0.085,0.938,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,31.928,0.023
74,male,no,112.4,0.9917,900.0,0.322,11.116,1.2,3.998,semi-intensive,0.085,0.945,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,32.146,0.023
75,male,no,113.39,0.9917,900.0,0.322,11.189,1.2,4.024,semi-intensive,0.085,0.951,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,32.356,0.023
76,male,no,114.38,0.9917,900.0,0.322,11.262,1.2,4.051,semi-intensive,0.085,0.957,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,32.569,0.023
77,male,no,115.37,0.9917,900.0,0.322,11.335,1.2,4.077,semi-intensive,0.085,0.963,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,32.779,0.024
78,male,no,116.36,0.9917,900.0,0.322,11.408,1.2,4.103,semi-intensive,0.085,0.97,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,32.991,0.024
79,male,no,117.36,0.9917,900.0,0.322,11.481,1.2,4.13,semi-intensive,0.085,0.976,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,33.203,0.024
80,male,no,118.35,0.9917,900.0,0.322,11.554,1.2,4.156,semi-intensive,0.085,0.982,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,33.413,0.024
