age,sex,castrate,weight_current,weight_gain,weight_mature,cf_maintenance,ne_maintenance,cf_growth,ne_growth,feeding_situation,cf_activity,ne_activity,is_pregnant,cf_pregnant,ne_pregnant,is_lactating,milk_production,milk_fat,milk protein,ne_lactation,diet,digestibility_diet,REM,REG,Ym,gross_energy,EF_CH4_ent_ferm
31,female,no,42.36,0.5785,380.0,0.322,5.347,0.8,2.755,extensive,0.227,1.214,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,18.982,0.014
32,female,no,42.93,0.5785,380.0,0.322,5.4,0.8,2.783,extensive,0.227,1.226,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,19.171,0.014
33,female,no,43.51,0.5785,380.0,0.322,5.455,0.8,2.811,extensive,0.227,1.238,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,19.365,0.014
34,female,no,44.09,0.5785,380.0,0.322,5.509,0.8,2.839,extensive,0.227,1.251,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,19.558,0.014
35,female,no,44.67,0.5785,380.0,0.322,5.564,0.8,2.867,extensive,0.227,1.263,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,19.752,0.014
36,female,no,45.25,0.5785,380.0,0.322,5.618,0.8,2.895,extensive,0.227,1.275,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,19.944,0.014
37,female,no,45.83,0.5785,380.0,0.322,5.672,0.8,2.923,extensive,0.227,1.288,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,20.137,0.014
38,female,no,46.4,0.5785,380.0,0.322,5.725,0.8,2.95,extensive,0.227,1.3,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,20.324,0.015
39,female,no,46.98,0.5785,380.0,0.322,5.778,0.8,2.977,extensive,0.227,1.312,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,20.512,0.015
40,female,no,47.56,0.5785,380.0,0.322,5.832,0.8,3.005,extensive,0.227,1.324,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,20.703,0.015
41,female,no,48.14,0.5785,380.0,0.322,5.885,0.8,3.032,extensive,0.227,1.336,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,20.891,0.015
42,female,no,48.72,0.5785,380.0,0.322,5.938,0.8,3.06,extensive,0.227,1.348,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,21.08,0.015
43,female,no,49.3,0.5785,380.0,0.322,5.991,0.8,3.087,extensive,0.227,1.36,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,21.268,0.015
44,female,no,49.88,0.5785,380.0,0.322,6.044,0.8,3.114,extensive,0.227,1.372,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,21.455,0.015
45,female,no,50.45,0.5785,380.0,0.322,6.095,0.8,3.141,extensive,0.227,1.384,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,21.639,0.016
46,female,no,51.03,0.5785,380.0,0.322,6.148,0.8,3.168,extensive,0.227,1.396,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,21.826,0.016
47,female,no,51.61,0.5785,380.0,0.322,6.2,0.8,3.195,extensive,0.227,1.407,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.01,0.016
48,female,no,52.19,0.5785,380.0,0.322,6.252,0.8,3.222,extensive,0.227,1.419,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.195,0.016
49,female,no,52.77,0.5785,380.0,0.322,6.304,0.8,3.249,extensive,0.227,1.431,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.381,0.016
50,female,no,53.35,0.5785,380.0,0.322,6.356,0.8,3.275,extensive,0.227,1.443,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.564,0.016
51,female,no,53.93,0.5785,380.0,0.322,6.408,0.8,3.302,extensive,0.227,1.455,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.749,0.016
52,female,no,54.5,0.5785,380.0,0.322,6.459,0.8,3.328,extensive,0.227,1.466,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,22.928,0.016
53,female,no,55.08,0.5785,380.0,0.322,6.51,0.8,3.355,extensive,0.227,1.478,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.112,0.017
54,female,no,55.66,0.5785,380.0,0.322,6.562,0.8,3.381,extensive,0.227,1.49,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.295,0.017
55,female,no,56.24,0.5785,380.0,0.322,6.613,0.8,3.408,extensive,0.227,1.501,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.477,0.017
56,female,no,56.82,0.5785,380.0,0.322,6.664,0.8,3.434,extensive,0.227,1.513,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.658,0.017
57,female,no,57.4,0.5785,380.0,0.322,6.715,0.8,3.46,extensive,0.227,1.524,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,23.837,0.017
58,female,no,57.98,0.5785,380.0,0.322,6.766,0.8,3.486,extensive,0.227,1.536,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.018,0.017
59,female,no,58.55,0.5785,380.0,0.322,6.816,0.8,3.512,extensive,0.227,1.547,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.196,0.017
60,female,no,59.13,0.5785,380.0,0.322,6.866,0.8,3.538,extensive,0.227,1.559,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.375,0.018
61,female,no,59.71,0.5785,380.0,0.322,6.917,0.8,3.564,extensive,0.227,1.57,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.554,0.018
62,female,no,60.29,0.5785,380.0,0.322,6.967,0.8,3.59,extensive,0.227,1.582,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.734,0.018
63,female,no,60.87,0.5785,380.0,0.322,7.017,0.8,3.616,extensive,0.227,1.593,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,24.911,0.018
64,female,no,61.45,0.5785,380.0,0.322,7.067,0.8,3.642,extensive,0.227,1.604,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.089,0.018
65,female,no,62.02,0.5785,380.0,0.322,7.116,0.8,3.667,extensive,0.227,1.615,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.262,0.018
66,female,no,62.6,0.5785,380.0,0.322,7.166,0.8,3.693,extensive,0.227,1.627,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.441,0.018
67,female,no,63.18,0.5785,380.0,0.322,7.216,0.8,3.718,extensive,0.227,1.638,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.616,0.018
68,female,no,63.76,0.5785,380.0,0.322,7.266,0.8,3.744,extensive,0.227,1.649,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.793,0.019
69,female,no,64.34,0.5785,380.0,0.322,7.315,0.8,3.769,extensive,0.227,1.661,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,25.968,0.019
70,female,no,64.92,0.5785,380.0,0.322,7.364,0.8,3.795,extensive,0.227,1.672,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.144,0.019
71,female,no,65.5,0.5785,380.0,0.322,7.414,0.8,3.82,extensive,0.227,1.683,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.319,0.019
72,female,no,66.07,0.5785,380.0,0.322,7.462,0.8,3.845,extensive,0.227,1.694,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.49,0.019
73,female,no,66.65,0.5785,380.0,0.322,7.511,0.8,3.87,extensive,0.227,1.705,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.663,0.019
74,female,no,67.23,0.5785,380.0,0.322,7.56,0.8,3.896,extensive,0.227,1.716,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,26.839,0.019
75,female,no,67.81,0.5785,380.0,0.322,7.609,0.8,3.921,extensive,0.227,1.727,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.012,0.019
76,female,no,68.39,0.5785,380.0,0.322,7.658,0.8,3.946,extensive,0.227,1.738,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.185,0.02
77,female,no,68.97,0.5785,380.0,0.322,7.706,0.8,3.971,extensive,0.227,1.749,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.356,0.02
78,female,no,69.55,0.5785,380.0,0.322,7.755,0.8,3.996,extensive,0.227,1.76,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.529,0.02
79,female,no,70.12,0.5785,380.0,0.322,7.803,0.8,4.021,extensive,0.227,1.771,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.701,0.02
80,female,no,70.7,0.5785,380.0,0.322,7.851,0.8,4.046,extensive,0.227,1.782,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,27.872,0.02
81,female,no,71.28,0.5785,380.0,0.322,7.899,0.8,4.07,extensive,0.227,1.793,no,0.0,0.0,no,0,0,0.0,0.0,suckling,96.85,0.57005,0.40078,4.0,28.04,0.02
